Epoch: 0, Train ACC: 62.011, Test ACC: 61.260, Train Loss: 350.15834868
Epoch: 1, Train ACC: 65.620, Test ACC: 66.244, Train Loss: 325.29073295
Epoch: 2, Train ACC: 68.718, Test ACC: 69.535, Train Loss: 308.84933776
Epoch: 3, Train ACC: 71.581, Test ACC: 63.540, Train Loss: 293.22658664
Epoch: 4, Train ACC: 74.126, Test ACC: 71.274, Train Loss: 276.98101300
Epoch: 5, Train ACC: 76.183, Test ACC: 70.357, Train Loss: 259.39289168
Epoch: 6, Train ACC: 79.504, Test ACC: 78.655, Train Loss: 237.86362302
Epoch: 7, Train ACC: 81.785, Test ACC: 82.064, Train Loss: 215.40522240
Epoch: 8, Train ACC: 84.000, Test ACC: 83.263, Train Loss: 194.36442859
Epoch: 9, Train ACC: 85.975, Test ACC: 82.393, Train Loss: 175.07241011
Epoch: 10, Train ACC: 87.386, Test ACC: 85.073, Train Loss: 158.48269972
Epoch: 11, Train ACC: 88.991, Test ACC: 87.447, Train Loss: 140.72971959
Epoch: 12, Train ACC: 90.349, Test ACC: 88.411, Train Loss: 126.06129287
Epoch: 13, Train ACC: 91.618, Test ACC: 91.443, Train Loss: 110.13817594
Epoch: 14, Train ACC: 92.470, Test ACC: 82.675, Train Loss: 100.86805398
Epoch: 15, Train ACC: 93.740, Test ACC: 90.033, Train Loss: 85.28705321
Epoch: 16, Train ACC: 94.616, Test ACC: 90.315, Train Loss: 71.52360736
Epoch: 17, Train ACC: 95.339, Test ACC: 91.584, Train Loss: 60.28877884
Epoch: 18, Train ACC: 96.044, Test ACC: 91.279, Train Loss: 52.01598265
Epoch: 19, Train ACC: 96.691, Test ACC: 92.901, Train Loss: 46.23768711
Epoch: 20, Train ACC: 97.026, Test ACC: 92.548, Train Loss: 42.27584642
Epoch: 21, Train ACC: 97.890, Test ACC: 93.112, Train Loss: 30.92414620
Epoch: 22, Train ACC: 97.661, Test ACC: 92.995, Train Loss: 34.12977549
Epoch: 23, Train ACC: 98.307, Test ACC: 92.454, Train Loss: 25.03522237
Epoch: 24, Train ACC: 97.984, Test ACC: 93.535, Train Loss: 28.39845130
Epoch: 25, Train ACC: 98.484, Test ACC: 92.807, Train Loss: 22.33126441
Epoch: 26, Train ACC: 98.689, Test ACC: 93.159, Train Loss: 19.68290353
Epoch: 27, Train ACC: 99.071, Test ACC: 87.988, Train Loss: 15.16082208
Epoch: 28, Train ACC: 98.489, Test ACC: 92.431, Train Loss: 22.38147115
Epoch: 29, Train ACC: 98.918, Test ACC: 89.798, Train Loss: 15.45154997
Epoch: 30, Train ACC: 99.594, Test ACC: 94.006, Train Loss: 6.91030360
Epoch: 31, Train ACC: 99.865, Test ACC: 93.630, Train Loss: 2.82329471
Epoch: 32, Train ACC: 99.794, Test ACC: 92.948, Train Loss: 3.54227449
Epoch: 33, Train ACC: 99.888, Test ACC: 93.747, Train Loss: 2.15464363
Epoch: 34, Train ACC: 99.500, Test ACC: 94.546, Train Loss: 7.79692631
Epoch: 35, Train ACC: 99.853, Test ACC: 94.264, Train Loss: 2.46694628
Epoch: 36, Train ACC: 99.606, Test ACC: 91.913, Train Loss: 6.05290377
Epoch: 37, Train ACC: 99.712, Test ACC: 94.687, Train Loss: 4.46856131
Epoch: 38, Train ACC: 99.918, Test ACC: 94.147, Train Loss: 1.76088605
Epoch: 39, Train ACC: 99.606, Test ACC: 93.912, Train Loss: 6.96968137
Epoch: 40, Train ACC: 99.788, Test ACC: 94.006, Train Loss: 3.25430276
Epoch: 41, Train ACC: 99.924, Test ACC: 94.147, Train Loss: 2.27617457
Epoch: 42, Train ACC: 99.612, Test ACC: 91.961, Train Loss: 5.74876770
Epoch: 43, Train ACC: 99.665, Test ACC: 93.089, Train Loss: 4.79440401
Epoch: 44, Train ACC: 99.835, Test ACC: 94.805, Train Loss: 2.55077318
Epoch: 45, Train ACC: 99.730, Test ACC: 92.689, Train Loss: 4.61683122
Epoch: 46, Train ACC: 99.865, Test ACC: 92.313, Train Loss: 2.26374606
Epoch: 47, Train ACC: 99.753, Test ACC: 93.042, Train Loss: 4.10711301
Epoch: 48, Train ACC: 99.859, Test ACC: 93.630, Train Loss: 2.29121539
Epoch: 49, Train ACC: 99.929, Test ACC: 93.465, Train Loss: 1.86050009
Epoch: 50, Train ACC: 99.641, Test ACC: 93.136, Train Loss: 5.60930876
