Epoch: 0, Train ACC: 90.019, Test ACC: 91.279, Train Loss: 124.07933731
Epoch: 1, Train ACC: 93.387, Test ACC: 92.783, Train Loss: 85.03546997
Epoch: 2, Train ACC: 94.304, Test ACC: 94.217, Train Loss: 76.70081132
Epoch: 3, Train ACC: 95.245, Test ACC: 94.758, Train Loss: 63.73305789
Epoch: 4, Train ACC: 96.126, Test ACC: 93.865, Train Loss: 52.59329861
Epoch: 5, Train ACC: 96.027, Test ACC: 94.593, Train Loss: 52.07152145
Epoch: 6, Train ACC: 96.556, Test ACC: 95.980, Train Loss: 46.72920194
Epoch: 7, Train ACC: 96.991, Test ACC: 93.794, Train Loss: 39.46390044
Epoch: 8, Train ACC: 96.979, Test ACC: 94.828, Train Loss: 43.06696954
Epoch: 9, Train ACC: 97.696, Test ACC: 94.993, Train Loss: 31.17666165
Epoch: 10, Train ACC: 97.837, Test ACC: 95.886, Train Loss: 29.96432878
Epoch: 11, Train ACC: 98.002, Test ACC: 93.912, Train Loss: 28.54598220
Epoch: 12, Train ACC: 98.084, Test ACC: 94.922, Train Loss: 27.18896392
Epoch: 13, Train ACC: 98.589, Test ACC: 96.121, Train Loss: 21.40722772
Epoch: 14, Train ACC: 98.342, Test ACC: 95.534, Train Loss: 23.80038691
Epoch: 15, Train ACC: 98.484, Test ACC: 96.309, Train Loss: 21.65038778
Epoch: 16, Train ACC: 98.936, Test ACC: 94.570, Train Loss: 15.66876892
Epoch: 17, Train ACC: 98.513, Test ACC: 94.664, Train Loss: 21.58591086
Epoch: 18, Train ACC: 98.883, Test ACC: 96.051, Train Loss: 16.53208484
Epoch: 19, Train ACC: 98.542, Test ACC: 96.192, Train Loss: 21.00675457
Epoch: 20, Train ACC: 99.124, Test ACC: 95.393, Train Loss: 13.59360015
Epoch: 21, Train ACC: 99.248, Test ACC: 95.722, Train Loss: 11.23971345
Epoch: 22, Train ACC: 98.801, Test ACC: 95.933, Train Loss: 18.43273434
Epoch: 23, Train ACC: 98.965, Test ACC: 95.886, Train Loss: 14.26953800
Epoch: 24, Train ACC: 99.289, Test ACC: 95.957, Train Loss: 9.75744615
Epoch: 25, Train ACC: 99.036, Test ACC: 95.393, Train Loss: 13.05187804
Epoch: 26, Train ACC: 99.318, Test ACC: 95.510, Train Loss: 9.79973433
Epoch: 27, Train ACC: 99.201, Test ACC: 96.544, Train Loss: 12.88154238
Epoch: 28, Train ACC: 99.565, Test ACC: 96.309, Train Loss: 6.80291731
Epoch: 29, Train ACC: 99.389, Test ACC: 96.474, Train Loss: 10.38574235
Epoch: 30, Train ACC: 99.806, Test ACC: 96.944, Train Loss: 2.64125914
Epoch: 31, Train ACC: 99.976, Test ACC: 97.179, Train Loss: 0.54786223
Epoch: 32, Train ACC: 99.959, Test ACC: 96.756, Train Loss: 0.94746060
Epoch: 33, Train ACC: 99.706, Test ACC: 97.062, Train Loss: 4.86480299
Epoch: 34, Train ACC: 99.924, Test ACC: 96.874, Train Loss: 1.33042112
